feature,phrase,frequency,rank,docfreq
mental_health,mental health,23737,8,2329
health_care,health care,8404,37,976
behavioral_health,behavioral health,6729,51,687
substance_use,substance use,5988,58,713
health_services,health services,5280,72,1038
public_health,public health,4943,81,637
use_disorder,use disorder,4075,111,548
substance_abuse,substance abuse,3047,159,688
mental_illness,mental illness,2982,163,645
united_states,united states,2868,174,592
addiction_services,addiction services,2181,272,224
mental_hygiene,mental hygiene,2181,272,442
school_district,school district,1923,325,335
human_services,human services,1922,326,547
controlled_substance,controlled substance,1806,350,176
managed_care,managed care,1803,351,221
care_services,care services,1705,378,365
developmental_disabilities,developmental disabilities,1697,382,390
suicide_prevention,suicide prevention,1655,395,286
social_services,social services,1638,413,265
emergency_medical,emergency medical,1588,451,233
medical_assistance,medical assistance,1585,453,246
family_services,family services,1425,517,282
task_force,task force,1333,565,121
continuing_education,continuing education,1185,650,160
treatment_facility,treatment facility,1170,662,145
social_worker,social worker,1150,676,297
health_professional,health professional,1125,685,292
health_insurance,health insurance,1116,695,266
pilot_program,pilot program,1108,703,138
care_provider,care provider,1103,707,236
certified_mental,certified mental,1080,723,11
explanation_matter,explanation matter,1060,744,1060
disorder_treatment,disorder treatment,1054,761,216
medical_services,medical services,1046,771,204
health_treatment,health treatment,1043,775,260
enforcement_agency,enforcement agency,1043,775,215
outpatient_treatment,outpatient treatment,1007,806,130
registered_nurse,registered nurse,982,835,205
use_disorders,use disorders,961,855,270
less_restrictive,less restrictive,943,875,87
controlled_substances,controlled substances,940,880,166
care_facility,care facility,937,883,182
mentally_ill,mentally ill,931,890,130
drug_involved,drug involved,894,922,11
higher_education,higher education,891,928,273
enforcement_officer,enforcement officer,885,932,152
clinical_social,clinical social,877,944,227
nurse_practitioner,nurse practitioner,873,946,132
health_crisis,health crisis,853,971,167
physician_assistant,physician assistant,851,976,159
service_provider,service provider,847,978,131
services_provider,services provider,832,994,84
treatment_program,treatment program,823,1007,180
treatment_services,treatment services,814,1021,238
interstate_commission,interstate commission,802,1032,12
care_providers,care providers,799,1035,293
support_services,support services,772,1066,271
juvenile_court,juvenile court,772,1066,77
community_mental,community mental,763,1085,181
court_order,court order,753,1099,186
assistance_program,assistance program,747,1109,163
intellectual_disability,intellectual disability,745,1114,67
care_professional,care professional,733,1143,126
crisis_intervention,crisis intervention,727,1156,150
peace_officer,peace officer,725,1162,173
public_safety,public safety,723,1166,219
social_work,social work,716,1183,175
high_school,high school,716,1183,111
primary_care,primary care,696,1223,166
assisted_outpatient,assisted outpatient,693,1234,27
charter_school,charter school,690,1242,102
nursing_home,nursing home,688,1243,119
health_service,health service,686,1251,220
sexual_orientation,sexual orientation,686,1251,90
second_degree,second degree,675,1280,68
training_program,training program,664,1301,142
gender_identity,gender identity,663,1303,80
licensed_clinical,licensed clinical,661,1304,174
person_licensed,person licensed,650,1326,114
crisis_response,crisis response,636,1358,88
health_professionals,health professionals,633,1364,278
involuntary_treatment,involuntary treatment,627,1380,57
356z_356z,356z 356z,627,1380,10
restrictive_alternative,restrictive alternative,625,1384,45
social_security,social security,622,1391,208
health_facility,health facility,621,1393,162
attorney_general,attorney general,621,1393,145
criminal_procedure,criminal procedure,609,1419,180
criminal_justice,criminal justice,608,1422,215
drug_addiction,drug addiction,606,1428,67
post-traumatic_stress,post-traumatic stress,600,1449,171
child_care,child care,596,1453,89
physical_therapist,physical therapist,596,1453,36
local_government,local government,595,1456,211
home_care,home care,591,1467,80
health_plan,health plan,586,1480,121
family_therapist,family therapist,573,1517,165
treatment_plan,treatment plan,570,1527,137
crisis_responder,crisis responder,570,1527,22
grant_program,grant program,567,1535,139
care_plan,care plan,541,1610,82
physical_therapy,physical therapy,539,1615,50
stress_disorder,stress disorder,536,1624,182
care_facilities,care facilities,535,1631,130
practice_medicine,practice medicine,534,1632,133
developmental_disability,developmental disability,532,1639,174
sexual_assault,sexual assault,531,1645,88
domestic_violence,domestic violence,530,1648,131
abuse_services,abuse services,524,1670,159
eating_disorders,eating disorders,523,1673,69
physical_harm,physical harm,517,1687,88
advanced_practice,advanced practice,515,1697,133
ordered_printed,ordered printed,511,1714,511
identification_card,identification card,509,1724,67
insurance_coverage,insurance coverage,508,1728,111
outpatient_services,outpatient services,507,1733,72
school_districts,school districts,498,1767,205
involuntary_examination,involuntary examination,498,1767,40
clinical_psychologist,clinical psychologist,496,1781,109
medical_necessity,medical necessity,495,1785,100
peer_support,peer support,491,1802,141
circuit_court,circuit court,491,1802,87
regular_session,regular session,488,1813,471
public_school,public school,488,1813,169
mobile_crisis,mobile crisis,486,1823,94
revenue_fund,revenue fund,483,1834,153
states_department,states department,483,1834,177
public_aid,public aid,481,1843,154
good_faith,good faith,479,1851,187
licensed_mental,licensed mental,477,1857,133
serious_harm,serious harm,477,1857,87
national_origin,national origin,476,1861,49
court_finds,court finds,474,1870,124
licensed_physician,licensed physician,470,1891,127
facilities_licensed,facilities licensed,470,1891,73
health_counseling,health counseling,469,1896,90
general_hospital,general hospital,469,1896,54
care_organization,care organization,469,1896,92
another_person,another person,468,1902,192
real_property,real property,468,1902,92
best_practices,best practices,467,1906,222
emergency_services,emergency services,465,1917,118
serious_mental,serious mental,465,1917,131
service_providers,service providers,459,1943,238
social_workers,social workers,458,1947,191
dangerous_drugs,dangerous drugs,457,1952,13
prescriptive_authority,prescriptive authority,455,1964,37
service_plan,service plan,449,1992,87
good_cause,good cause,449,1992,164
care_service,care service,447,2005,74
licensed_professional,licensed professional,447,2005,93
practice_registered,practice registered,438,2044,113
drug_abuse,drug abuse,437,2049,166
use_tax,use tax,437,2049,17
mental_emotional,mental emotional,434,2063,95
professional_counselor,professional counselor,432,2077,91
health_conditions,health conditions,429,2092,200
health_disorder,health disorder,428,2102,101
2023-2024_regular,2023-2024 regular,426,2109,426
involuntary_outpatient,involuntary outpatient,425,2114,31
crisis_stabilization,crisis stabilization,424,2120,103
degree_felony,degree felony,424,2120,10
motor_vehicle,motor vehicle,424,2120,74
sales_tax,sales tax,423,2127,14
mental_disorder,mental disorder,421,2140,68
liability_company,liability company,421,2140,37
treatment_provider,treatment provider,418,2159,81
enforcement_agencies,enforcement agencies,417,2170,187
restraining_order,restraining order,415,2179,20
annual_report,annual report,412,2196,229
competency_restoration,competency restoration,411,2201,17
enforcement_officers,enforcement officers,409,2216,125
administrative_services,administrative services,409,2216,43
health_administrative,health administrative,408,2222,35
home_health,home health,407,2225,49
family_therapy,family therapy,403,2254,82
compact_states,compact states,401,2263,16
receiving_facility,receiving facility,397,2294,55
third_degree,third degree,396,2297,40
advisory_committee,advisory committee,393,2322,108
health_benefit,health benefit,392,2330,67
management_services,management services,390,2342,111
2021-2022_regular,2021-2022 regular,387,2362,387
administrative_procedure,administrative procedure,385,2376,102
health_planning,health planning,385,2376,45
crisis_services,crisis services,385,2376,78
residential_treatment,residential treatment,385,2376,110
inpatient_treatment,inpatient treatment,384,2382,69
crisis_hotline,crisis hotline,382,2392,40
rates_taking,rates taking,382,2392,14
benefit_plan,benefit plan,381,2401,61
mental_disorders,mental disorders,380,2410,183
medical_care,medical care,380,2410,178
general_fund,general fund,378,2427,85
early_intervention,early intervention,372,2472,94
health_center,health center,372,2472,109
alternative_treatment,alternative treatment,372,2472,33
gender_expression,gender expression,372,2472,16
psychologist_licensed,psychologist licensed,370,2492,153
occupation_tax,occupation tax,369,2501,16
health_counselor,health counselor,368,2511,88
deemed_repealed,deemed repealed,368,2511,106
qualified_health,qualified health,367,2519,89
drug_administration,drug administration,366,2525,118
care_organizations,care organizations,366,2525,104
health_agency,health agency,365,2535,56
education_program,education program,364,2542,115
real_estate,real estate,364,2542,68
correctional_facility,correctional facility,363,2549,128
medical_marijuana,medical marijuana,363,2549,12
direct_support,direct support,363,2549,31
technical_assistance,technical assistance,361,2563,127
addiction_treatment,addiction treatment,357,2592,61
protection_order,protection order,355,2607,18
local_mental,local mental,353,2626,137
successfully_completed,successfully completed,353,2626,95
physician_licensed,physician licensed,352,2640,147
veterans_affairs,veterans affairs,351,2648,130
regulatory_authority,regulatory authority,351,2648,36
compact_commission,compact commission,349,2667,30
medical_board,medical board,347,2689,35
executive_director,executive director,347,2689,84
abuse_treatment,abuse treatment,346,2698,138
disorder_services,disorder services,346,2698,132
juvenile_justice,juvenile justice,346,2698,122
long-term_care,long-term care,345,2710,83
tax_imposed,tax imposed,345,2710,42
direct_care,direct care,344,2719,57
treatment_center,treatment center,343,2731,65
professional_service,professional service,341,2747,18
loan_repayment,loan repayment,338,2785,41
armed_forces,armed forces,337,2793,116
mandatory_continuing,mandatory continuing,336,2799,28
training_programs,training programs,335,2806,137
health_issues,health issues,333,2824,204
internet_website,internet website,331,2837,163
planning_council,planning council,330,2848,28
person_responsible,person responsible,330,2848,39
stand_trial,stand trial,329,2858,44
social_media,social media,328,2866,57
licensing_board,licensing board,328,2866,37
withdrawal_management,withdrawal management,328,2866,48
appropriations_project,appropriations project,328,2866,82
licensed_health,licensed health,325,2899,73
school_psychologist,school psychologist,325,2899,88
prescription_drugs,prescription drugs,324,2909,96
criminal_history,criminal history,324,2909,101
per_hour,per hour,323,2917,34
alcohol_drug,alcohol drug,322,2923,37
bodily_harm,bodily harm,321,2928,93
ill_person,ill person,320,2942,23
legal_guardian,legal guardian,319,2952,89
court_determines,court determines,317,2974,111
full_force,full force,316,2985,42
psychiatric_nurse,psychiatric nurse,316,2985,56
intervention_services,intervention services,314,3000,104
psychology_regulatory,psychology regulatory,311,3019,12
special_education,special education,311,3019,110
compound_mixture,compound mixture,311,3019,16
services_agency,services agency,308,3044,63
treatment_facilities,treatment facilities,308,3044,112
registered_professional,registered professional,308,3044,42
health_program,health program,307,3057,104
intermediate_care,intermediate care,306,3065,36
school_board,school board,304,3083,59
minority_leader,minority leader,303,3090,131
community_health,community health,300,3124,77
governing_body,governing body,298,3149,118
child_support,child support,298,3149,29
community_addiction,community addiction,297,3159,15
child_abuse,child abuse,296,3165,71
personal_property,personal property,296,3165,70
advanced_registered,advanced registered,296,3165,30
health_disorders,health disorders,294,3192,133
civil_commitment,civil commitment,293,3210,62
services_delivered,services delivered,293,3210,75
medical_treatment,medical treatment,292,3222,119
probable_cause,probable cause,292,3222,91
recovery_residence,recovery residence,292,3222,26
supreme_court,supreme court,292,3222,103
local_program,local program,291,3240,238
conditional_release,conditional release,291,3240,43
mixture_preparation,mixture preparation,289,3254,10
community_services,community services,288,3264,83
family_members,family members,288,3264,156
prescribing_psychologist,prescribing psychologist,288,3264,21
professional_nurse,professional nurse,288,3264,42
whoever_violates,whoever violates,288,3264,17
medicaid_services,medicaid services,286,3287,115
health_providers,health providers,286,3287,145
public_records,public records,286,3287,47
health_needs,health needs,285,3300,159
health_maintenance,health maintenance,285,3300,68
case_management,case management,284,3320,138
intervention_team,intervention team,284,3320,26
substantial_risk,substantial risk,283,3335,75
mental_disability,mental disability,281,3360,40
public_office,public office,280,3373,25
make_recommendations,make recommendations,279,3387,182
clinical_research,clinical research,279,3387,32
residential_care,residential care,278,3404,54
make_available,make available,276,3431,155
services_organization,services organization,276,3431,33
state's_attorney,state's attorney,276,3431,54
school_social,school social,275,3447,72
legislative_counsel's,legislative counsel's,274,3458,274
financial_services,financial services,273,3467,32
interjurisdictional_compact,interjurisdictional compact,272,3478,21
immediately_preceding,immediately preceding,272,3478,100
clinical_laboratory,clinical laboratory,272,3478,23
work_group,work group,272,3478,43
community_behavioral,community behavioral,271,3496,62
recovery_support,recovery support,270,3506,68
fourth_degree,fourth degree,270,3506,18
emotional_nervous,emotional nervous,269,3526,14
internal_revenue,internal revenue,268,3542,69
work_experience,work experience,268,3542,36
convincing_evidence,convincing evidence,267,3554,104
inpatient_mental,inpatient mental,267,3554,64
interjurisdictional_telepsychology,interjurisdictional telepsychology,266,3575,12
fiscal_committee,fiscal committee,265,3588,265
psychology_interjurisdictional,psychology interjurisdictional,265,3588,21
tax_liability,tax liability,265,3588,15
active_duty,active duty,264,3603,77
prosecuting_attorney,prosecuting attorney,264,3603,51
professional_development,professional development,263,3620,47
competent_jurisdiction,competent jurisdiction,263,3620,97
school_personnel,school personnel,263,3620,89
health_system,health system,262,3636,111
service_area,service area,262,3636,73
advisory_council,advisory council,262,3636,88
practice_interjurisdictional,practice interjurisdictional,261,3651,12
temporary_authorization,temporary authorization,261,3651,12
driver's_license,driver's license,261,3651,35
facility_licensed,facility licensed,260,3671,114
care_plans,care plans,260,3671,49
informed_consent,informed consent,260,3671,73
skilled_nursing,skilled nursing,260,3671,49
health_condition,health condition,259,3682,127
occupational_therapy,occupational therapy,258,3705,46
health_safety,health safety,258,3705,144
total_number,total number,258,3705,81
marital_status,marital status,257,3719,27
environmental_health,environmental health,255,3744,43
serious_physical,serious physical,255,3744,73
general_revenue,general revenue,255,3744,142
involuntary_inpatient,involuntary inpatient,255,3744,38
medical_education,medical education,253,3780,37
subdi_vision,subdi vision,253,3780,115
good_standing,good standing,252,3798,71
prescription_drug,prescription drug,251,3810,72
civil_penalty,civil penalty,251,3810,46
temporary_president,temporary president,251,3810,171
health_screening,health screening,249,3830,55
gravely_disabled,gravely disabled,248,3846,46
treatment_programs,treatment programs,248,3846,120
background_check,background check,248,3846,64
violates_division,violates division,248,3846,11
telephone_number,telephone number,247,3868,104
peace_officers,peace officers,247,3868,85
local_educational,local educational,246,3891,32
public_schools,public schools,246,3891,111
psychological_services,psychological services,246,3891,70
osteopathic_medicine,osteopathic medicine,246,3891,52
national_suicide,national suicide,244,3925,70
medicaid_managed,medicaid managed,244,3925,95
care_staff,care staff,242,3957,35
terminal_distributor,terminal distributor,242,3957,10
community_college,community college,241,3970,55
municipal_corporation,municipal corporation,241,3970,39
health_response,health response,241,3970,19
services_rendered,services rendered,240,3986,107
statistical_manual,statistical manual,240,3986,131
committed_person,committed person,239,4003,22
amounts_appropriated,amounts appropriated,239,4003,80
key_vote,key vote,238,4027,238
care_program,care program,237,4052,75
police_officer,police officer,236,4067,93
children's_mental,children's mental,236,4067,37
substance_analog,substance analog,236,4067,16
addition_amendment,addition amendment,236,4067,188
community_supervision,community supervision,235,4084,88
context_clearly,context clearly,235,4084,157
court_program,court program,235,4084,21
owner's_identification,owner's identification,234,4105,20
secure_withdrawal,secure withdrawal,234,4105,15
workforce_development,workforce development,233,4127,37
treatment_limitations,treatment limitations,233,4127,42
monitoring_program,monitoring program,233,4127,26
firearm_owner's,firearm owner's,233,4127,20
medicaid_program,medicaid program,232,4149,121
local_governmental,local governmental,232,4149,102
dispute_resolution,dispute resolution,231,4168,36
civil_practice,civil practice,231,4168,58
medical_practice,medical practice,230,4186,85
successful_completion,successful completion,230,4186,77
health_education,health education,230,4186,70
inpatient_placement,inpatient placement,230,4186,18
sexual_abuse,sexual abuse,230,4186,71
disability_services,disability services,230,4186,55
medical_condition,medical condition,229,4210,94
community_control,community control,229,4210,14
selling_price,selling price,229,4210,11
creative_arts,creative arts,229,4210,25
public_hearing,public hearing,228,4229,49
care_professionals,care professionals,227,4244,112
pharmacy_benefit,pharmacy benefit,226,4263,18
licensed_certified,licensed certified,226,4263,65
orientation_gender,orientation gender,226,4263,29
medical_service,medical service,226,4263,46
involuntary_services,involuntary services,226,4263,17
acute_care,acute care,225,4288,45
vote_majority,vote majority,225,4288,225
majority_appropriation,majority appropriation,225,4288,225
counseling_services,counseling services,225,4288,104
trust_fund,trust fund,225,4288,43
day_care,day care,224,4304,53
health_authority,health authority,224,4304,68
form_prescribed,form prescribed,223,4323,84
valid_license,valid license,222,4341,46
health_awareness,health awareness,222,4341,82
city_university,city university,221,4361,22
professional_person,professional person,220,4378,35
telehealth_services,telehealth services,220,4378,39
pleaded_guilty,pleaded guilty,220,4378,15
race_creed,race creed,220,4378,12
health_facilities,health facilities,219,4408,91
wanton_misconduct,wanton misconduct,218,4431,57
manner_prescribed,manner prescribed,218,4431,105
certified_nurse,certified nurse,218,4431,38
professional_regulation,professional regulation,218,4431,73
drug_court,drug court,218,4431,30
care_coordination,care coordination,217,4445,80
therapist_assistant,therapist assistant,217,4445,21
police_department,police department,215,4480,65
health_centers,health centers,215,4480,99
involuntary_admission,involuntary admission,215,4480,57
pleads_guilty,pleads guilty,215,4480,18
justice_services,justice services,215,4480,50
costs_associated,costs associated,214,4508,108
public_record,public record,214,4508,50
drug_therapy,drug therapy,214,4508,27
team_training,team training,213,4540,20
clinical_professional,clinical professional,213,4540,37
professional_counseling,professional counseling,212,4556,27
opioid_treatment,opioid treatment,212,4556,52
clinical_experience,clinical experience,212,4556,47
supervising_physician,supervising physician,212,4556,21
court_orders,court orders,211,4583,98
educator_license,educator license,211,4583,10
health_benefits,health benefits,210,4605,66
clinical_record,clinical record,210,4605,43
prescription_monitoring,prescription monitoring,210,4605,13
arti_cle,arti cle,210,4605,73
certified_recovery,certified recovery,209,4632,33
property_tax,property tax,208,4659,24
expenses_incurred,expenses incurred,208,4659,145
residential_services,residential services,208,4659,60
county_board,county board,208,4659,40
prescribe_drugs,prescribe drugs,208,4659,28
student_mental,student mental,207,4682,74
workers_compensation,workers compensation,207,4682,75
minor_child,minor child,207,4682,33
substantially_similar,substantially similar,207,4682,43
pursu_ant,pursu ant,206,4709,72
community_care,community care,205,4733,66
nursing_facilities,nursing facilities,205,4733,24
general_public,general public,205,4733,107
hour_wage,hour wage,204,4755,14
receiving_services,receiving services,203,4776,120
licensed_psychologist,licensed psychologist,203,4776,81
group_health,group health,203,4776,41
services_providers,services providers,203,4776,65
policies_procedures,policies procedures,203,4776,66
per_diem,per diem,203,4776,45
wage_increase,wage increase,203,4776,18
physical_health,physical health,202,4808,130
local_health,local health,201,4823,72
quality_assurance,quality assurance,201,4823,77
school_psychologists,school psychologists,201,4823,77
governmental_unit,governmental unit,201,4823,52
per_cent,per cent,201,4823,19
emergency_response,emergency response,200,4849,68
emergency_department,emergency department,200,4849,77
maternal_mental,maternal mental,200,4849,41
creed_color,creed color,200,4849,12
states_food,states food,199,4881,71
profes_sional,profes sional,199,4881,44
health_emergency,health emergency,197,4930,45
qualified_professional,qualified professional,197,4930,41
federally_qualified,federally qualified,197,4930,57
military_status,military status,197,4930,14
annual_basis,annual basis,196,4956,105
emergency_room,emergency room,196,4956,90
advance_directive,advance directive,196,4956,20
motor_vehicles,motor vehicles,196,4956,49
para_graph,para graph,196,4956,43
health_programs,health programs,195,4987,121
inconsistent_provision,inconsistent provision,195,4987,22
health_court,health court,194,5005,27
public_interest,public interest,194,5005,110
professional_medical,professional medical,194,5005,28
child_welfare,child welfare,193,5030,58
professional_services,professional services,193,5030,39
majority_vote,majority vote,193,5030,82
support_personnel,support personnel,193,5030,41
third_party,third party,193,5030,75
stabilization_facility,stabilization facility,193,5030,10
maintenance_organization,maintenance organization,192,5055,56
financial_assistance,financial assistance,192,5055,56
licensed_pharmacist,licensed pharmacist,192,5055,16
financial_participation,financial participation,191,5082,51
data_system,data system,191,5082,34
compact_privilege,compact privilege,191,5082,19
parent_guardian,parent guardian,191,5082,64
medical_records,medical records,191,5082,93
health_provider,health provider,190,5105,89
involuntary_commitment,involuntary commitment,190,5105,81
detention_facility,detention facility,190,5105,42
eligibility_criteria,eligibility criteria,190,5105,86
school_equivalency,school equivalency,190,5105,11
opioid_antagonist,opioid antagonist,190,5105,43
sentencing_court,sentencing court,190,5105,32
changing_sections,changing sections,190,5105,139
probate_court,probate court,189,5134,30
speech-language_pathologist,speech-language pathologist,189,5134,31
court_clerk,court clerk,189,5134,16
tangible_personal,tangible personal,189,5134,17
fifth_degree,fifth degree,189,5134,16
party_states,party states,189,5134,11
licensed_marriage,licensed marriage,188,5164,73
health_workforce,health workforce,188,5164,42
commit_tee,commit tee,188,5164,172
insurance_policy,insurance policy,187,5199,78
extent_possible,extent possible,187,5199,114
economic_development,economic development,187,5199,42
license_holder,license holder,187,5199,32
present_danger,present danger,187,5199,25
race_color,race color,186,5224,29
general_hospitals,general hospitals,186,5224,20
county_mental,county mental,185,5244,64
best_interest,best interest,185,5244,81
medication_assisted,medication assisted,185,5244,56
retailers_occupation,retailers occupation,185,5244,12
applicant_holds,applicant holds,185,5244,11
criminal_offense,criminal offense,184,5281,70
serious_bodily,serious bodily,184,5281,60
sex_offender,sex offender,184,5281,52
response_services,response services,184,5281,49
police_officers,police officers,184,5281,61
response_team,response team,184,5281,50
moral_character,moral character,184,5281,28
services_commission,services commission,184,5281,93
licensed_practical,licensed practical,183,5310,49
patient_care,patient care,182,5342,66
civil_service,civil service,182,5342,70
members_appointed,members appointed,182,5342,84
certain_circumstances,certain circumstances,182,5342,98
funds_appropriated,funds appropriated,182,5342,101
correctional_facilities,correctional facilities,182,5342,67
care_worker,care worker,182,5342,33
recovery_supports,recovery supports,182,5342,26
immediately_explanation,immediately explanation,182,5342,182
department_determines,department determines,181,5378,101
outpatient_mental,outpatient mental,181,5378,51
outpatient_care,outpatient care,181,5378,47
public_awareness,public awareness,181,5378,101
prac_tice,prac tice,181,5378,37
retirement_system,retirement system,181,5378,28
professional_misconduct,professional misconduct,181,5378,21
treatment_providers,treatment providers,180,5414,84
prevention_lifeline,prevention lifeline,180,5414,58
co-occurring_disorders,co-occurring disorders,180,5414,47
kathy_hochul,kathy hochul,180,5414,47
professional_practice,professional practice,179,5447,69
doctoral_degree,doctoral degree,179,5447,76
facility_operated,facility operated,179,5447,90
stabilization_services,stabilization services,179,5447,53
health_department,health department,178,5476,63
care_treatment,care treatment,177,5512,79
medical_staff,medical staff,177,5512,30
chemical_dependency,chemical dependency,176,5540,51
costs_incurred,costs incurred,176,5540,90
medication-assisted_treatment,medication-assisted treatment,176,5540,48
substantially_equivalent,substantially equivalent,176,5540,54
emergency_mental,emergency mental,176,5540,21
community_service,community service,175,5579,54
licensure_compact,licensure compact,175,5579,21
guardian_advocate,guardian advocate,175,5579,19
services_available,services available,174,5605,117
last_day,last day,174,5605,75
district_attorney,district attorney,174,5605,39
american_psychiatric,american psychiatric,174,5605,99
master's_degree,master's degree,174,5605,55
county_commissioners,county commissioners,174,5605,30
young_adults,young adults,173,5636,84
publicly_accessible,publicly accessible,172,5669,86
mental_illnesses,mental illnesses,172,5669,80
health_clinic,health clinic,172,5669,50
income_tax,income tax,172,5669,49
control_sanction,control sanction,172,5669,12
school_counselors,school counselors,171,5717,62
fiscal_note,fiscal note,171,5717,143
services_addiction,services addiction,171,5717,33
medical_record,medical record,170,5744,75
special_needs,special needs,170,5744,60
tax_credit,tax credit,170,5744,30
educational_program,educational program,170,5744,55
disorder_professional,disorder professional,170,5744,34
legislative_body,legislative body,170,5744,66
governing_board,governing board,169,5783,66
legal_services,legal services,169,5783,39
u.s_department,u.s department,169,5783,59
dental_services,dental services,169,5783,27
moneys_received,moneys received,168,5802,56
alcohol_use,alcohol use,167,5827,31
judicial_finding,judicial finding,167,5827,10
good_moral,good moral,167,5827,27
employment_duties,employment duties,166,5862,24
awareness_month,awareness month,166,5862,67
another_jurisdiction,another jurisdiction,166,5862,48
addiction_medicine,addiction medicine,165,5900,44
justice_system,justice system,165,5900,89
provides_coverage,provides coverage,165,5900,57
national_guard,national guard,165,5900,74
found_guilty,found guilty,165,5900,81
physician_physician,physician physician,165,5900,35
immediate_family,immediate family,165,5900,60
executive_commissioner,executive commissioner,165,5900,60
foster_care,foster care,164,5935,81
rehabilitation_services,rehabilitation services,164,5935,64
reimbursement_rates,reimbursement rates,164,5935,62
coordinated_licensure,coordinated licensure,164,5935,26
inpatient_care,inpatient care,164,5935,63
counselor_licensed,counselor licensed,164,5935,65
school_safety,school safety,164,5935,66
service_use,service use,164,5935,12
incarcerated_individual,incarcerated individual,164,5935,28
trauma-informed_care,trauma-informed care,163,5987,36
worker_licensed,worker licensed,163,5987,70
peer_specialist,peer specialist,163,5987,24
plan_amendment,plan amendment,163,5987,54
practical_nurse,practical nurse,163,5987,49
abuse_addiction,abuse addiction,163,5987,48
examining_board,examining board,163,5987,18
assisted_treatment,assisted treatment,163,5987,52
therapist_licensed,therapist licensed,162,6030,54
provider_network,provider network,162,6030,50
medical_equipment,medical equipment,162,6030,40
operating_certificate,operating certificate,162,6030,40
now_therefore,now therefore,161,6062,161
clearly_indicates,clearly indicates,161,6062,128
speech-language_pathology,speech-language pathology,161,6062,18
debt_service,debt service,161,6062,12
2021–2022_regular,2021–2022 regular,160,6098,160
health_agencies,health agencies,160,6098,57
person_whose,person whose,160,6098,73
meaning_given,meaning given,160,6098,62
community-based_services,community-based services,160,6098,67
generally_accepted,generally accepted,160,6098,51
application_fee,application fee,160,6098,40
durable_medical,durable medical,160,6098,34
school_diploma,school diploma,160,6098,28
court-ordered_mental,court-ordered mental,160,6098,21
overdose_reversal,overdose reversal,160,6098,15
award_grants,award grants,159,6138,68
best_interests,best interests,159,6138,67
color_national,color national,159,6138,13
advisory_board,advisory board,158,6178,51
dental_hygienist,dental hygienist,158,6178,37
services_organizations,services organizations,158,6178,38
public_body,public body,158,6178,15
establish_procedures,establish procedures,157,6211,108
educational_agency,educational agency,157,6211,29
criminal_background,criminal background,157,6211,66
secondary_school,secondary school,157,6211,75
professional_educator,professional educator,157,6211,13
county_jail,county jail,156,6249,53
military_service,military service,156,6249,68
applicant_meets,applicant meets,156,6249,53
assisted_living,assisted living,156,6249,44
surgical_benefits,surgical benefits,156,6249,35
repayment_program,repayment program,156,6249,25
educational_institution,educational institution,155,6298,58
intellectual_disabilities,intellectual disabilities,155,6298,51
reproductive_health,reproductive health,155,6298,33
crisis_call,crisis call,155,6298,18
outpatient_behavioral,outpatient behavioral,155,6298,18
reasonably_expected,reasonably expected,155,6298,11
covered_services,covered services,154,6342,48
covid-19_pandemic,covid-19 pandemic,154,6342,91
education_programs,education programs,154,6342,74
warning_signs,warning signs,154,6342,90
certified_behavioral,certified behavioral,154,6342,25
ninetieth_day,ninetieth day,154,6342,128
common_pleas,common pleas,154,6342,38
health_plans,health plans,153,6384,73
affordable_housing,affordable housing,153,6384,29
individual_licensed,individual licensed,153,6384,69
public_instruction,public instruction,152,6433,65
services_fund,services fund,152,6433,47
stabilization_unit,stabilization unit,152,6433,41
developmentally_disabled,developmentally disabled,152,6433,35
health_clinics,health clinics,152,6433,53
licensed_service,licensed service,152,6433,25
educational_programs,educational programs,152,6433,65
harm_reduction,harm reduction,152,6433,57
firearms_dealer,firearms dealer,152,6433,19
status_sex,status sex,152,6433,14
medical_conduct,medical conduct,152,6433,14
health_resources,health resources,151,6482,95
educational_services,educational services,151,6482,83
loan_forgiveness,loan forgiveness,151,6482,25
class_felony,class felony,151,6482,28
grant_funds,grant funds,150,6521,71
service_delivery,service delivery,150,6521,78
maternal_depression,maternal depression,150,6521,29
medical_dental,medical dental,150,6521,38
initial_license,initial license,150,6521,20
regis_tration,regis tration,150,6521,15
inpatient_psychiatric,inpatient psychiatric,149,6564,57
county_behavioral,county behavioral,149,6564,33
services_program,services program,149,6564,63
nationally_recognized,nationally recognized,149,6564,85
civil_liability,civil liability,149,6564,67
firearm_ammunition,firearm ammunition,149,6564,14
health_carrier,health carrier,149,6564,17
collective_bargaining,collective bargaining,148,6617,65
respiratory_therapy,respiratory therapy,148,6617,12
breast_cancer,breast cancer,148,6617,19
chap_ter,chap ter,148,6617,65
school_psychology,school psychology,147,6660,44
superior_court,superior court,147,6660,33
public_agency,public agency,147,6660,56
local_correctional,local correctional,147,6660,48
certified_mail,certified mail,147,6660,52
immigration_status,immigration status,147,6660,31
indian_health,indian health,147,6660,23
reasonable_cause,reasonable cause,146,6695,68
emergency_detention,emergency detention,146,6695,34
support_staff,support staff,145,6741,46
cause_shown,cause shown,145,6741,51
professional_counselors,professional counselors,145,6741,51
prima_facie,prima facie,145,6741,39
incarcerated_individuals,incarcerated individuals,145,6741,46
care_reform,care reform,145,6741,21
background_screening,background screening,144,6790,18
front-line_personnel,front-line personnel,144,6790,14
best_practice,best practice,143,6827,50
