domain_group,token,n,tf,idf,tf_idf
high,1005.31,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1006.05,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1006.07,46,2.1318572230335122e-5,0,0
high,1006.12,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,1006.13,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1006.1493,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,1006.28,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,1006.283,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
high,1006.29,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,1006.31,10,4.634472223985896e-6,0.6931471805599453,3.2123713554392034e-6
high,1006.34,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,1006.40,14,6.488261113580255e-6,0.6931471805599453,4.497319897614885e-6
high,1006.41,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1008.22,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,1008.32,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1009.65,5,2.317236111992948e-6,0.6931471805599453,1.6061856777196017e-6
high,1009.675,12,5.561366668783076e-6,0.6931471805599453,3.854845626527044e-6
high,1009.8962,4,1.8537888895943585e-6,0.6931471805599453,1.2849485421756813e-6
high,1009.98,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,1009.981,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,100each,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,100th,24,1.1122733337566151e-5,0.6931471805599453,7.709691253054089e-6
high,101.132,8,3.707577779188717e-6,0.6931471805599453,2.5698970843513626e-6
high,101.2,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,101.311,1,4.6344722239858964e-7,0.6931471805599453,3.212371355439203e-7
high,101.4,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,101.5,2,9.268944447971793e-7,0.6931471805599453,6.424742710878406e-7
high,101.68,7,3.2441305567901275e-6,0.6931471805599453,2.2486599488074424e-6
high,1011.62,23,1.0659286115167561e-5,0.6931471805599453,7.388454117510167e-6
high,1011.67,6,2.780683334391538e-6,0.6931471805599453,1.927422813263522e-6
