bill_id,topic,gamma,topic_label,is_artifact
1396123,16,0.3922785728506662,Insurance & Medicaid Coverage,FALSE
1396990,19,0.3077144921829962,Criminal Justice,FALSE
1397015,16,0.44808594551517866,Insurance & Medicaid Coverage,FALSE
1397140,19,0.4447373930963884,Criminal Justice,FALSE
1397537,18,0.30593265483076876,Education & Community,FALSE
1397808,12,0.2154592254266381,Budget & Fiscal Provisions,FALSE
1397966,12,9.66008385213842e-5,Budget & Fiscal Provisions,FALSE
1397987,15,0.8123808084177453,Corporate & Regulatory,FALSE
1398151,1,0.0011174724062304,Involuntary & Inpatient Treatment,FALSE
1398635,9,0.25898950195183273,Advisory Bodies & Task Forces,FALSE
1398638,18,0.9974303352429448,Education & Community,FALSE
1398887,19,0.4308126996880236,Criminal Justice,FALSE
1399080,9,0.5958178040736052,Advisory Bodies & Task Forces,FALSE
1399267,4,0.4577159324777537,General Regulatory Procedures,FALSE
1399415,9,0.6380475910181667,Advisory Bodies & Task Forces,FALSE
1399424,4,0.3768653568635515,General Regulatory Procedures,FALSE
1399509,3,2.775597145294445e-4,Maternal & Prenatal Health,FALSE
1399559,19,0.3845873468081379,Criminal Justice,FALSE
1399593,19,0.4071166646282324,Criminal Justice,FALSE
1399921,10,2.7755971452947143e-4,Workforce Licensing,FALSE
1399939,2,2.4623888214614137e-4,Drug Crime & Penalties,FALSE
1400129,19,0.610297558880655,Criminal Justice,FALSE
1400490,1,0.7591951474033841,Involuntary & Inpatient Treatment,FALSE
1402590,19,6.162929732476307e-5,Criminal Justice,FALSE
1402631,4,0.10433015110721276,General Regulatory Procedures,FALSE
1402704,1,2.841307252358605e-4,Involuntary & Inpatient Treatment,FALSE
1403783,15,0.5369395547380755,Corporate & Regulatory,FALSE
1403817,18,0.9965832780658356,Education & Community,FALSE
1403940,18,0.2929122082473573,Education & Community,FALSE
1404059,9,0.6582919323725656,Advisory Bodies & Task Forces,FALSE
1404135,19,0.6277455110553135,Criminal Justice,FALSE
1404163,16,0.4262834240134171,Insurance & Medicaid Coverage,FALSE
1404211,9,0.5507853766866943,Advisory Bodies & Task Forces,FALSE
1404238,1,0.8518988309423765,Involuntary & Inpatient Treatment,FALSE
1404261,18,3.9042544691364456e-4,Education & Community,FALSE
1404289,19,0.7160771416569736,Criminal Justice,FALSE
1404314,16,0.4940256520955323,Insurance & Medicaid Coverage,FALSE
1404385,9,0.8485774952647281,Advisory Bodies & Task Forces,FALSE
1404450,19,0.2879846416562424,Criminal Justice,FALSE
1404540,15,0.7726683145976341,Corporate & Regulatory,FALSE
1404601,18,0.778282622088448,Education & Community,FALSE
1404660,12,1.1681611343231451e-4,Budget & Fiscal Provisions,FALSE
1404764,13,0.20674702664271025,Licensing & Privacy Records,FALSE
1404773,18,0.8739693786422378,Education & Community,FALSE
1405099,9,0.6222841008000066,Advisory Bodies & Task Forces,FALSE
1405565,16,0.42043949036678313,Insurance & Medicaid Coverage,FALSE
1405903,2,0.30798428026279123,Drug Crime & Penalties,FALSE
1406009,1,0.8559357992974236,Involuntary & Inpatient Treatment,FALSE
1406058,4,0.6705497055415773,General Regulatory Procedures,FALSE
1406115,1,2.910204073930853e-4,Involuntary & Inpatient Treatment,FALSE
1406302,18,0.996583278065836,Education & Community,FALSE
1406317,13,0.4051649220362344,Licensing & Privacy Records,FALSE
1406367,18,4.662655661436533e-4,Education & Community,FALSE
1406415,18,0.23792195220636497,Education & Community,FALSE
1406474,16,0.4669839019575884,Insurance & Medicaid Coverage,FALSE
1406499,19,0.1818931095019244,Criminal Justice,FALSE
1406515,18,2.8413072523584697e-4,Education & Community,FALSE
1406563,16,4.249885647625015e-4,Insurance & Medicaid Coverage,FALSE
1406596,9,3.781247213058362e-4,Advisory Bodies & Task Forces,FALSE
1406644,16,0.26695584656640137,Insurance & Medicaid Coverage,FALSE
1406753,18,0.304497458289668,Education & Community,FALSE
1406897,18,0.1278217316483646,Education & Community,FALSE
1406915,19,0.2399629168241524,Criminal Justice,FALSE
1407147,9,0.600348401193221,Advisory Bodies & Task Forces,FALSE
1407266,11,0.9998609339696016,Policy Equity & Conditions,FALSE
1407312,13,0.7052405103705749,Licensing & Privacy Records,FALSE
1407365,11,0.9998614409732371,Policy Equity & Conditions,FALSE
1407396,19,0.4662905425645823,Criminal Justice,FALSE
1407548,18,0.8283173704413922,Education & Community,FALSE
1407860,1,0.7240768977915212,Involuntary & Inpatient Treatment,FALSE
1407892,19,0.27426894996311657,Criminal Justice,FALSE
1408122,1,0.13277670152759138,Involuntary & Inpatient Treatment,FALSE
1408140,9,0.07046521724252541,Advisory Bodies & Task Forces,FALSE
1408225,9,0.673581154490873,Advisory Bodies & Task Forces,FALSE
1408239,12,0.3858426022116304,Budget & Fiscal Provisions,FALSE
1408293,18,0.9881480386418352,Education & Community,FALSE
1408911,16,3.968808868963337e-4,Insurance & Medicaid Coverage,FALSE
1408934,16,4.104540889390878e-4,Insurance & Medicaid Coverage,FALSE
