bill_id,topic,gamma,topic_label,is_artifact
1392217,1,1.3757091691774556e-4,Involuntary & Inpatient Treatment,FALSE
1392229,1,4.4059018139152776e-4,Involuntary & Inpatient Treatment,FALSE
1392297,1,1.2470581075564198e-4,Involuntary & Inpatient Treatment,FALSE
1392384,1,2.462388821461486e-4,Involuntary & Inpatient Treatment,FALSE
1392866,1,3.138514861019932e-4,Involuntary & Inpatient Treatment,FALSE
1393574,1,2.775597145293975e-4,Involuntary & Inpatient Treatment,FALSE
1393593,1,3.610613487208327e-4,Involuntary & Inpatient Treatment,FALSE
1393909,1,0.9996708258129424,Involuntary & Inpatient Treatment,FALSE
1393940,1,0.9994924046827938,Involuntary & Inpatient Treatment,FALSE
1394269,1,1.8118486286995429e-4,Involuntary & Inpatient Treatment,FALSE
1394291,1,0.6119977406499019,Involuntary & Inpatient Treatment,FALSE
1394327,1,4.951185930886402e-4,Involuntary & Inpatient Treatment,FALSE
1394885,1,2.437384890411992e-4,Involuntary & Inpatient Treatment,FALSE
1395061,1,4.4882858124200084e-4,Involuntary & Inpatient Treatment,FALSE
1395391,1,1.8118486286996478e-4,Involuntary & Inpatient Treatment,FALSE
1395734,1,1.6613629326666908e-4,Involuntary & Inpatient Treatment,FALSE
1395983,1,3.841766469114782e-4,Involuntary & Inpatient Treatment,FALSE
1396017,1,3.35805262615181e-4,Involuntary & Inpatient Treatment,FALSE
1396123,1,1.1913527313451703e-4,Involuntary & Inpatient Treatment,FALSE
1396990,1,3.781247213057943e-4,Involuntary & Inpatient Treatment,FALSE
1397015,1,3.3580526261520226e-4,Involuntary & Inpatient Treatment,FALSE
1397140,1,2.875343008821769e-4,Involuntary & Inpatient Treatment,FALSE
1397537,1,2.2332869167890405e-4,Involuntary & Inpatient Treatment,FALSE
1397808,1,2.365329807674571e-4,Involuntary & Inpatient Treatment,FALSE
1397966,1,9.660083852123203e-5,Involuntary & Inpatient Treatment,FALSE
1397987,1,4.3289893165777834e-5,Involuntary & Inpatient Treatment,FALSE
1398151,1,0.001117472406230408,Involuntary & Inpatient Treatment,FALSE
1398635,1,1.6499430662931695e-4,Involuntary & Inpatient Treatment,FALSE
1398638,1,1.3524551352926058e-4,Involuntary & Inpatient Treatment,FALSE
1398887,1,2.7438688074041034e-4,Involuntary & Inpatient Treatment,FALSE
1399080,1,1.2601519511595358e-4,Involuntary & Inpatient Treatment,FALSE
1399267,1,1.8682573358787448e-4,Involuntary & Inpatient Treatment,FALSE
1399415,1,1.2601519511590102e-4,Involuntary & Inpatient Treatment,FALSE
1399424,1,1.2279197147388018e-4,Involuntary & Inpatient Treatment,FALSE
1399509,1,2.775597145293973e-4,Involuntary & Inpatient Treatment,FALSE
1399559,1,1.3678694801043278e-4,Involuntary & Inpatient Treatment,FALSE
1399593,1,2.2332869167900082e-4,Involuntary & Inpatient Treatment,FALSE
1399921,1,2.7755971452942925e-4,Involuntary & Inpatient Treatment,FALSE
1399939,1,2.46238882146113e-4,Involuntary & Inpatient Treatment,FALSE
1400129,1,1.5145994853699025e-4,Involuntary & Inpatient Treatment,FALSE
1400490,1,0.7591951474033841,Involuntary & Inpatient Treatment,FALSE
1402590,1,6.162929732424385e-5,Involuntary & Inpatient Treatment,FALSE
1402631,1,4.3264876747500444e-4,Involuntary & Inpatient Treatment,FALSE
1402704,1,2.841307252358605e-4,Involuntary & Inpatient Treatment,FALSE
1403783,1,4.488285812420028e-4,Involuntary & Inpatient Treatment,FALSE
1403817,1,1.798274702192103e-4,Involuntary & Inpatient Treatment,FALSE
1403940,1,2.8413072523580875e-4,Involuntary & Inpatient Treatment,FALSE
1404059,1,1.1037049578871202e-4,Involuntary & Inpatient Treatment,FALSE
1404135,1,1.4162953333278556e-4,Involuntary & Inpatient Treatment,FALSE
1404163,1,1.9597787093528847e-4,Involuntary & Inpatient Treatment,FALSE
1404211,1,0.05738774294347306,Involuntary & Inpatient Treatment,FALSE
1404238,1,0.8518988309423765,Involuntary & Inpatient Treatment,FALSE
1404261,1,3.9042544691362266e-4,Involuntary & Inpatient Treatment,FALSE
1404289,1,6.162929732422766e-5,Involuntary & Inpatient Treatment,FALSE
1404314,1,5.763392958165637e-5,Involuntary & Inpatient Treatment,FALSE
1404385,1,5.833425426450136e-5,Involuntary & Inpatient Treatment,FALSE
1404450,1,2.487911075758937e-4,Involuntary & Inpatient Treatment,FALSE
1404540,1,1.0150277412086706e-4,Involuntary & Inpatient Treatment,FALSE
1404601,1,1.2803165259886638e-4,Involuntary & Inpatient Treatment,FALSE
1404660,1,1.1681611343210301e-4,Involuntary & Inpatient Treatment,FALSE
1404764,1,2.8413072523581233e-4,Involuntary & Inpatient Treatment,FALSE
1404773,1,4.104540889390618e-4,Involuntary & Inpatient Treatment,FALSE
1405099,1,1.2279197147392298e-4,Involuntary & Inpatient Treatment,FALSE
1405565,1,3.2227928419540985e-4,Involuntary & Inpatient Treatment,FALSE
1405903,1,1.6965911374629654e-4,Involuntary & Inpatient Treatment,FALSE
1406009,1,0.8559357992974236,Involuntary & Inpatient Treatment,FALSE
1406058,1,4.376345524091083e-5,Involuntary & Inpatient Treatment,FALSE
1406115,1,2.910204073930853e-4,Involuntary & Inpatient Treatment,FALSE
1406302,1,1.798274702191854e-4,Involuntary & Inpatient Treatment,FALSE
1406317,1,1.811848628699974e-4,Involuntary & Inpatient Treatment,FALSE
1406367,1,4.662655661435512e-4,Involuntary & Inpatient Treatment,FALSE
1406415,1,1.9282912793379037e-4,Involuntary & Inpatient Treatment,FALSE
1406474,1,1.6499430662937414e-4,Involuntary & Inpatient Treatment,FALSE
1406499,1,3.138514861019681e-4,Involuntary & Inpatient Treatment,FALSE
1406515,1,2.841307252358392e-4,Involuntary & Inpatient Treatment,FALSE
1406563,1,4.2498856476247155e-4,Involuntary & Inpatient Treatment,FALSE
1406596,1,3.7812472130578255e-4,Involuntary & Inpatient Treatment,FALSE
1406644,1,2.841307252358569e-4,Involuntary & Inpatient Treatment,FALSE
1406753,1,0.1539546917131052,Involuntary & Inpatient Treatment,FALSE
1406897,1,4.326487674749501e-4,Involuntary & Inpatient Treatment,FALSE
1406915,1,2.8413072523583976e-4,Involuntary & Inpatient Treatment,FALSE
1407147,1,8.841674123132457e-5,Involuntary & Inpatient Treatment,FALSE
1407266,1,7.31926475732793e-6,Involuntary & Inpatient Treatment,FALSE
1407312,1,0.1790514506101655,Involuntary & Inpatient Treatment,FALSE
1407365,1,7.292580355345589e-6,Involuntary & Inpatient Treatment,FALSE
1407396,1,1.758746409166201e-4,Involuntary & Inpatient Treatment,FALSE
1407548,1,9.007571599085586e-5,Involuntary & Inpatient Treatment,FALSE
1407860,1,0.7240768977915212,Involuntary & Inpatient Treatment,FALSE
1407892,1,2.7438688074040454e-4,Involuntary & Inpatient Treatment,FALSE
1408122,1,0.13277670152759138,Involuntary & Inpatient Treatment,FALSE
1408140,1,7.53685562430683e-5,Involuntary & Inpatient Treatment,FALSE
1408225,1,1.2093598704819121e-4,Involuntary & Inpatient Treatment,FALSE
1408239,1,1.1458552195412967e-4,Involuntary & Inpatient Treatment,FALSE
1408293,1,6.237874399034047e-4,Involuntary & Inpatient Treatment,FALSE
1408911,1,3.9688088689631323e-4,Involuntary & Inpatient Treatment,FALSE
1408934,1,4.1045408893906286e-4,Involuntary & Inpatient Treatment,FALSE
1408963,1,3.904254469136146e-4,Involuntary & Inpatient Treatment,FALSE
1408972,1,2.388870096439042e-4,Involuntary & Inpatient Treatment,FALSE
1409001,1,9.69911763752316e-5,Involuntary & Inpatient Treatment,FALSE
1409020,1,2.5405763868121314e-4,Involuntary & Inpatient Treatment,FALSE
1409750,1,2.6020489475509117e-5,Involuntary & Inpatient Treatment,FALSE
1409766,1,0.7269937365890843,Involuntary & Inpatient Treatment,FALSE
1409916,1,0.12670371286107404,Involuntary & Inpatient Treatment,FALSE
1410004,1,3.968808868963338e-4,Involuntary & Inpatient Treatment,FALSE
1410035,1,1.5242172072055759e-4,Involuntary & Inpatient Treatment,FALSE
1410311,1,2.5677541205313764e-4,Involuntary & Inpatient Treatment,FALSE
1410391,1,4.488285812419775e-4,Involuntary & Inpatient Treatment,FALSE
1410545,1,2.2741673318075863e-5,Involuntary & Inpatient Treatment,FALSE
1410555,1,2.096730320193209e-4,Involuntary & Inpatient Treatment,FALSE
1411023,1,4.0355338917354784e-4,Involuntary & Inpatient Treatment,FALSE
1411183,1,9.179813630374034e-5,Involuntary & Inpatient Treatment,FALSE
1411185,1,1.2093598704820334e-4,Involuntary & Inpatient Treatment,FALSE
1411197,1,3.26665225777499e-4,Involuntary & Inpatient Treatment,FALSE
1411261,1,3.9042544691364424e-4,Involuntary & Inpatient Treatment,FALSE
1411556,1,0.5974432473704183,Involuntary & Inpatient Treatment,FALSE
1411658,1,0.21916469952868356,Involuntary & Inpatient Treatment,FALSE
1411757,1,0.07762252575685885,Involuntary & Inpatient Treatment,FALSE
1411847,1,0.9966826880237265,Involuntary & Inpatient Treatment,FALSE
1411971,1,0.0967211002299314,Involuntary & Inpatient Treatment,FALSE
1411981,1,2.8080678395898815e-4,Involuntary & Inpatient Treatment,FALSE
1412410,1,0.2679369483945257,Involuntary & Inpatient Treatment,FALSE
1412650,1,4.0355338917359175e-4,Involuntary & Inpatient Treatment,FALSE
1412820,1,3.18009557177446e-4,Involuntary & Inpatient Treatment,FALSE
1412847,1,1.477312462851887e-4,Involuntary & Inpatient Treatment,FALSE
1413072,1,0.7159405851488705,Involuntary & Inpatient Treatment,FALSE
1413226,1,0.18843956970683828,Involuntary & Inpatient Treatment,FALSE
1413361,1,2.1726437537977934e-4,Involuntary & Inpatient Treatment,FALSE
1413378,1,1.203297310523507e-4,Involuntary & Inpatient Treatment,FALSE
1413429,1,1.684683569159361e-4,Involuntary & Inpatient Treatment,FALSE
1413464,1,1.7849026483738453e-4,Involuntary & Inpatient Treatment,FALSE
1413510,1,2.0089863825933384e-4,Involuntary & Inpatient Treatment,FALSE
1413564,1,5.055465182689175e-4,Involuntary & Inpatient Treatment,FALSE
1413587,1,2.7128576556270764e-4,Involuntary & Inpatient Treatment,FALSE
1413761,1,0.07328105651877317,Involuntary & Inpatient Treatment,FALSE
1413934,1,6.30870968860074e-5,Involuntary & Inpatient Treatment,FALSE
1414036,1,1.2154838296470585e-4,Involuntary & Inpatient Treatment,FALSE
1414210,1,0.07328105651877317,Involuntary & Inpatient Treatment,FALSE
1415246,1,1.4332083350139762e-4,Involuntary & Inpatient Treatment,FALSE
1415261,1,2.060728790277267e-4,Involuntary & Inpatient Treatment,FALSE
1415479,1,2.3196141474280218e-4,Involuntary & Inpatient Treatment,FALSE
